id,proverb,query_narrative,first_choice,second_choice,distractor_similarity,analogy_level,correct_answer
406,A man who is his own lawyer has a fool for his client,"As he drove into work one morning, Walter decided he was underpaid.  He let himself become angry and resentful about his salary. The point he missed was to ask someone who knew the rules to represent him and not himself that was unaware of all the rules in a new country he was working.   When he got to his office, he interrupted a meeting the boss was having to ask for a raise.  The boss told Walter to calm down and come back later.  Instead, Walter got angrier, swore at his boss, and called him vile, insulting names.  Instead of getting a raise, Walter got fired.","He was a natural night owl and preferred to get in as many hours sleep as he could, but his new job demanded that he start at seven in the morning! Although he grumbled, he needed the money and so continued with the job. Within three months he was promoted and given a generous payrise. His employer also paid for him to go on an educational course and provided health insurance.","Once upon a time in a  city, there was a diligent worker named John who toiled day and night at his job in hopes of receiving a salary increase. Filled with confidence in his abilities, he decided to represent himself in negotiations with his boss. However, his lack of legal expertise and negotiation skills led him to become entangled in a web of conflicting arguments and misunderstandings, ultimately costing him the opportunity for a salary raise.",high,near,2
407,Worrying never did anyone any good,"It was already dark and his daughter was late coming home from work.  He wondered if he should walk to her workplace and see if she was alright.  But he decided there was no need to.  She was old enough to take care of herself.  And besides, she had a second degree black belt in taekwondo.","As the clock ticked past midnight, John's worry consumed him as he waited anxiously at his daughter's office. The commute home was usually quick, but tonight, she was delayed. Every passing minute only heightened his concern for her safety. In the end, his relentless goals to protect his daughter were later shared by relieved relatives when she finally arrived, unharmed. However, the father was getting older with a quicker rate with all the stress.","A man wanted to start his job at a company where his friends used to work as well. They were telling him about all the bad thing about the company and the not so condusive environment they were working in, but he wasn't believing them since he thought they are only trying to take over his job. When he started the job, he saw all the descriptions with his own eyes and it was actually real.",high,near,1
408,The more the merrier,Amy was home alone on her birthday. She was quite sad until Paul came over with a gift. Paul's arrival made her very happy. Soon she was surprised by more and more of her friends who showed up out of the blue. Before long her house was so full of friends and she was having so much fun Amy forgot how sad she was before everyone showed up.,"On her birthday, Sarah had one goal - to be happy. She invited her friends, but sadly, only a few could make it. Little did she know that her buddy Paul had secretly organized a surprise appearance by all their mutual friends. When Sarah opened the door, she was overwhelmed with joy as she saw more and more familiar faces joining the celebration. The room quickly filled with laughter with more people making her happier and her birthday more enjoyable.","Sue was so annoyed with the way that her friend Amy was treating her. She was just being mean, and wasn't spending any time with her. Sue finally got so fed up, that she took a sweater that she had borrowed from Amy, and tore it to shreds. When Amy found out, she did the same thing to a shirt that she had borrowed from Sue. but this just made everything worse between them. ",high,near,1
409,"No pain, no gain",Every single muscle in his body was screaming at him and he longed to stop and collapse onto the nearest chair. He forced himself to keep going by sheer willpower. The next day he had his reward when he stood on his bathroom scales. He had lost a whole four lbs in a week and was feeling great!,"Initially I was very choosy on the kind of work I did, I spent three years out after campus with no job, I was simply begging for money from relatives. When everyone started to deny lending me money, I picked up odd jobs like selling magazines, selling food near schools etc. Surprisingly I made more money.","Lately he'd been feasting on high calorie junk food everyday and he has gained about 60lbs. He had fun eating his way up the scale and enjoyed every cheeseburger and pizza, but only when he attempted to take the weight off did he realize how much effort and time it will take to lose all 60lbs.",high,far,1
410,A change is as good as a rest,Milo had been working to build his own software company for years but was thinking about quitting when Gary approached him. Gary suggested that Milo come to work for his software company and Milo's girlfriend Alice thought that a job at a new company would be better than quitting due to being burned out.,"Carl hated his job.  His friend at another company seemed so happy.  Eventually, Carl applied to work with his friend's company.  He was so happy when he was accepted and resigned from his position.  Carl started his job excited to be in a new environment. Unfortunately, this job was even worse than his last. Carl was upset with himself for not staying with his old company.","There was lady in her mid 50s who was feeling low and unfulfilled in her life. She felt she had let many opportunities pass her by and they were now far and few. One day, in a frenzy and in spite of herself, she decided to dye her hair purple. She took a good look in the mirror, and for the first in a long time, felt hugely optimistic about tomorrow.",high,far,2
411,Charity begins at home,The pastor was shocked that his children turned into unbelievers and hedonists. It was clear that all those hours in church trying to preach all people from different backgrounds and various beliefs could have been better spent raising his own children at home that needed their father.,"Charles went to church with his parents every Sunday. He felt comfortable there. However, more and more he noticed that the people at church weren't wearing their masks to protect themselves and others from Covid-19. In school, he was learning that Covid was a threat. He began to ponder if his parents beliefs were really the correct way to live. He decided he wanted to be a scientist when he grew up.","I think its important in the stimulus bill to provide money for the american people, and not just the people of other countries. We are a beacon of hope for a reason",high,far,2
412,One half of the world does not know how the other half lives,She grew up in a life of privilege. As a child she has nannies and servants catering to her every whim. She went on family vacations to luxury results. When she started college at a prestigious school she was assigned a roommate. It turned out that her roommate came from a poor family and was on a full scholarship. Her priorities seemed so different from her roommate's and she could not understand why the roommate shared so few life experiences with her. She concluded that the roommate was just weird.,"Since last couple of years, we haven't seen any development in our area and crime has also been increased in our vicinity. Our member of is sitting and discuss the issues but they never come to our area so they don't know what is happening and also not aware about the challenges we have. Unless they come, meet people and discuss the issue with local people they will never be able to understand our challenges and issues so they will never be able to help us.",She worked hard each day at her job.  When there was money left over at the end of the month she carefully considered if there was anything she or her children needed.  Some months she was able to buy extra shelf stable food.  When there was an area wide disaster she had enough for her family and her neighbours to survive.,low,far,1
413,It's an ill wind that blows no one any good,"Katie and Sue were coworkers. They had both been with their firm for quite some time. They both got a bit nervous when their company merged with another. They knew they could make many personnel changes. Ultimately, the new executive vice president told Katie that they wouldn't be needing her services anymore, and she was let go. Later, sue got fired too alongside so many of their other friends in the whole section they used to work in, and basically nothing good was happening for anybody.","What would that foreign government gain by covertly encouraging anti-vaccine social media influencers? the son asked his father.  They can cause the pandemic to destroy the western economies which would make their own crippled economy fare better, the crowdsourced micro worker replied.  But nobody will fare better after the 2074 impact of minor planet 2006 JY26.  It will affect everybody's lives in an extremely disastrous way and nobody will be content about the outcome. ",Tyson took reign of his father's company.  Many of the workers were worried.  Their worries were justified.  When Tyson came in there were many changes.  Tyson saw much to do and he got rid of a lot of staff replacing them with new and younger workers who were able to do the job more accurate and also more efficiently.,high,far,1
414,Life's not all beer and skittles,"George had a positive attitude and appeared to be happy with his life.  He had never held a job because his parents were wealthy.  When George turned 30, his Dad said he was cutting back on giving George money and he would have to start earning a living like everyone else.","After stopping goals all day, Adrian gets moved from goalie to offense in his soccer game. Adrian runs to the goal and kicks the ball, but misses. A little defeated, he tries again, but fails. Soon after his teammate gets the ball and scores right away. Adrian goes up to his teammate and says you make it look so easy! His teammate replies: it doesn't work this way all the time. sometimes he's also failing badly and sometimes he's good. he can't be all good all the time. ",I remember how hard our life before and even now. I have to work and school at the same time but I was able to finished my studies and achieved some of my dreams in life. The personal goal that I had to be satisfied doing anything I wanted to touch was to prepare extremely well for it and see what will be the outcome. This was making me do everything as perfect as possible.,high,far,1
415,You reap what you sow,"John got married when he was very young.  John adored his wife but  often didn't act as a married man. He continued to stay out late and party with his friends often.  His wife patiently waited at home.  When John's wife became pregnant, she thought John would grow up and be the husband and father she imagined.  However, John continued to act as a single man and not support his family. One day, his wife decided that she would leave.   John not only lost the love of his life but also his chance to have a family.","The woman tried her very best for being a good wife, working hard to feed the family and taking care of their children while the husband a lot of vices, drinking, gambling even cheating on her but she continued to be good and nice to the husband until the husband realized that her wife is better and good wife to be with.","A general demoted several officers who disagreed with his ideas.  In their place, he promoted  incompetent officers who always agreed with his plans and told the general he was a military genius.   One evening, the general suggested a battle plan and was told by his officers it was perfect.  The next morning, the marshal leading the opposing army easily spotted major flaws in the general's plan. The marshal's army easily defeated the general's army, even though it was badly outnumbered.",high,far,2
416,Blood is thicker than water,"I spend time with my friends. I'm forced to spend time with family on Holidays, but it is them I know that in the times of need and hardship will come to help and support me no matter what happens.","There was a surfer that loved water and everything about water. He used to swim everyday, he used to dive every day and basically any activities that were related to water was his favorites. It happened however, that because of his family he had to change his town and wasn't able to be close to water anymore. He did that since his family was really important to him.","Going home for the holidays was enough of her family for the year, since after each day she was remembering all the bad memories she had from her family and siblings, and she was constantly wishing the whole holiday would finish as soon as possible. ",low,far,1
417,Life's not all beer and skittles,"Joseph was having a great day at work. He had sold 3 used cars that day and was on track to beat last week's sales. On what could potentially be the fourth sale, he encountered a stubborn man who did not appreciate Joseph's personality or sales tactics. The man left with no car. Joseph shrugged him off and went on to sell 4 more cars that day.",A manager is considering giving a promotion to a worker. The day he is going to be giving him the promotion the worker is showing up late to work. The manager decides instead to go give the promotion to another worker that is always at work on time during the work day.,"In a bustling city, a young graduate lands his dream job at a prestigious company. He envisions a life of success and prosperity, only to find himself drowning in a sea of endless deadlines, demanding bosses, and the pressure to climb the corporate ladder. As he navigates the fast-paced world of his career, he comes to realize that job satisfaction and fulfillment are not easily attained, teaching him that life's journey is far from a carefree game and he has to put in the efforts.",low,near,2
418,It's the squeaky wheel that gets the grease,"Several people have reported being unhappy with the service and quality of food at a certain restaurant. All of them left feeling like they'd been ripped off. Only one complained directly to the manager, and this one got a full refund.",The man ordered some food at the restaurant. He looked across his table and saw his friend's dish. His friend's dish looked more delicious. The man thought this could be mere perception based on some pessimistic bias. He thought the only way to avoid this feeling were if the whole table ordered the same thing.,"At a bustling eatery, the boss noticed a particularly persistent customer whose excitement filled the air. Curiosity piqued, the boss went over to their table, engaging in conversation and attentively listening to their inquiries and suggestions. The boss, wanting to ensure customer satisfaction, swiftly responded by implementing changes and improvements, leaving the customer feeling content and eager to return.",high,near,2
419,Keep your powder dry,"He got up early every morning to go running, rain or shine.  He knew he had to train hard to build up his stamina and sharpen his mind.  As a crowdsourced micro worker, he had to be always ready to work rapidly on long bursts of well-paying tasks whenever they show up.","Bella liked to stockpile food, including staples like flour and sugar, regardless of all the warnings that her friends used to give her about the separation of different things to be sure none of them go bad.  One day the pipes burst in the kitchen and her pantry was flooded.  Her stockpile of cake mixes, salt, flour, baking soda, and sugar were ruined.  She couldn't use them and they were worthless now.","Amongst my friends there were identical twins that from the outside seemed so similar but interestingly their lives were very different. One of the twins liked to wake up and have a big breakfast, but the other liked to wake up and go for a run instead. They lived in the same house on the same street since birth but their habits could not have been more different.",low,far,1
420,History repeats itself,A poor woman fell in love with a man who was wealthy and well educated. They had a very happy life. They had 4 children and one of them was Mary. Mary grew up to be a nice fine lady. She later met a very wealthy nice businessman as well.,"Once upon a time, in the bustling city of prosperity, a young individual embarked on a journey to encounter a prosperous gentleman. With passionate relations, they discovered a shared dream: to bring positive change to their respective communities. Over time, their actions grew wiser and more mature, leading them to forge a partnership that sparked a new era of progress. As they looked back on their journey, they realized that the same thing had happened before them with their fathers trying to make a better living for the generations to come. ","At the alter, Dan looked into Renee's eyes and realized in that moment that he was right where he needed to be. He finally realizes why none of the other relationships he had worked out.  Everything happens when it needs to. He finally feels completely ready to be with someone for the rest of his life.",high,near,1
421,It's better to light a candle than to curse the darkness,"A hurricane was in the forecast and people were warned to remove outside items that could be blown around.  Henry was tired and decided to ignore the suggestion.  He went to bed and prayed that the Lord would protect him and his possessions from any storm damage.  Soon the storm raged and a patio chair flew through his French door.  As he was asking the Lord why He allowed this, he realized he would not have had the damage if he had just taken a minute to bring in the chair.","My friend always complained about being going through difficult times and always under stress. He is always busy, unable to spend time with family and doesn't have enough money to support his family. Even though he got many chances but unable to avail it because not being no consistent in his work. I said to him that all this could be due to his own mistakes so recommended him to assess and learn from mistakes then I am sure you will be able to overcome all this.",He studied all the time.  He was teased at school for never having fun.  He looked into his book ceaselessly as his brother and sister would play on their phones and watch tv all night.  His back was aching from bending over all day in books.  He had few friends.  His grades were amazing.  Top in his class was his rank.  He solved the math problems without even blinking.  His experiment for chemistry he kept repeating over and over awaiting a solution to the complex problems of cancer. Kids outside the window were running in the courtyard chasing balls smiling.,low,far,1
422,It's no use crying over spilt milk,"He had many regrets about a fight he had with his sister years back. They continued to not talk and he wished he could go back in time to take back everything he said. Finally, he learned how to live in the present and not dwell on things that are done and over with.","many people are too focused on things that they have no control over, they get dragged into the world of uncertainty and doubt, thereby forgetting to live in the moment and enjoy the stage they are at present. There is no point focusing on what may or may not happen later in life, it is better to enjoy your present state and make the most of it.",I had to give a presentation in school today.  I was not as prepared as I should have been.  My hands were shaking and I know that I was talking too fast.  I was upset all day by my horrible performance.  I need to just stop thinking about it because it is too late to do anything about it now.,low,far,2
423,Blessed are the peacemakers,"He spent a lifetime turning away from arguments, and stepping in to stop others from fighting. He was the one people called the mediate and diffuse negative situations. He was a calm and fair man, who had good health and good karma for all of the years he spent helping others to stay calm and avoid arguments.","John is a person that every time he has argument or disagreement with her wife, he always make sure to settle it down before going to bed or to sleep. He always believe that whatever things that bother her or problem they need to talk it out and find solution. John believes that being angry all the time is not healthy, he believes that anger makes us old and make us sick and frustrated.","In a small village, there lived two neighboring families who had been feuding for generations. The constant quarrels over petty matters had taken a toll on the entire community. One day, a wise elder in the village decided to intervene and offered a peaceful solution. Both families agreed to avoid disputes and instead focus on building a stronger sense of unity. Over time, the village flourished with harmony, and the once feuding families became the catalysts for peace, spreading their wisdom and bringing blessings to all.",low,near,2
424,You are never too old to learn,"The mother had decided to go back to school. Her kids were all grown and she wanted to better herself and education. Upon arriving on her first day of school, she was slightly embarrassed that she was the oldest person in the classroom. Even with most of the kids half her age, she continued to move forward and grow from her experience. She may have been the oldest one, but she was also very proud of herself for living her dream.","The girl looked up to her favorite professor for years after having a one hour class with him. She begged him to let her be his research assistant. When he finally accepted, she began working closely with him for over 50 hours a week. The girl began to see how rude he was. He was moody and unappreciative of her help. Her opinion of him changed after that.","in a  educational institution, a curious elderly woman embarked on a journey to improve her knowledge and learning. Surrounded by lively children, she found herself inspired and motivated to explore new realms of understanding. Determined to break the stereotypical notion of age limitations, she embraced every opportunity to grasp new concepts.",high,near,2
425,There's no accounting for tastes,"Her dream was to be a journalist, while her best friend's dream was to be a dentist. Each didn't understand why the other wanted what they wanted, but they recognized that society would be in trouble if there were no journalists or dentists.","In a small town, two buddies named Jack and Mike had different preferences when it came to food. While Jack preferred spicy and exotic flavors, Mike always opted for simple and familiar dishes. Their differences sparked many debates, but they always respected each other's choices. As time went on, they realized that there was no point in arguing about tastes since everyone has their own unique preferences in life.",Jose was born in very poor family and Mario in a rich family in the area and they were friends and grew up together. There was a big concert or shows in the area for a popular singers and the two of them are interested to watch. Mario being rich he can able to watch the concert because he has the money to pay for the concert whereas Jose being poor he can't watch the concert because he doesn't have the money to pay for the concert or shows.,low,near,1
426,"If the mountain won't come to Mohammed, then Mohammed must go to the mountain",Elizabeth had been training for the Marathon over in Phoenix for years. But regardless of her training she didn't have a car or way to get to Phoenix from her home in Flagstaff. One year Elizabeth had simply had enough and applied for a permit to host a Marathon in Flagstaff with the city. The following summer she finally got to run in a Marathon.,"The checkers tournament at the school decided to put some prizes on the line. They did not feel comfortable putting up money because that was too close to gambling, said an administrator. Nonetheless, the champion of the tournament would win a variety of electronic gadgets and a new Apple phone.",Every year my parents used to visit me and stayed with me for a month. This year they are unable to come because they cant travel due to their ill health so I decided to go and visit them.,low,far,2
427,A picture paints a thousand words,"The man couldn't understand why his wife had been so distant lately. He'd tried just about everything he could to make her happy. Late one night, he came across her phone showing an image of his wife with another man. His fears had been confirmed, and with that one picture, he understood everything that was happening for the past couple of months.","The first time he saw his wife he thought she was the most beautiful thing he had ever seen. She had red curly hair, a beguiling smile and a mischievous twinkle in her eyes. Sixty years on, holding her hand in the hospital for the last time, he did not see the grey hair, the dazed expression, the fear and confusion. To him, she was the twenty two year old he had fallen in love with, and this was all because of the first time he saw her with all the beauty that she showed to him first.",The class struggled with the idea of derivatives until the teacher drew a graph on the board showing a curve and its tangent line. Many in the class had an 'aha' moment and could follow the remainder of the class.,high,far,2
428,A thing of beauty is a joy forever,"Peter was not much of an art lover, but when he saw the painting, he knew he had to have it. It was gorgeous-he had never seen anything so beautiful. He blanched when he learned the price (over $50,000) but he scraped the funds  together and purchased it. He was nervous that he'd spent too much, but every day he looked at the painting and felt a rush of joy and satisfaction. Forty years later, as an old man, Peter felt the same. The painting's stunning gorgeousness never faded.","The painting was beautiful just as it was and he was very proud of it. The colour, the scene, the execution - all were very definitely the best work he had ever done. He could not help, though, wanting to make it even better and he made some additions, after a couple of glasses of celebratory wine. In the morning he realised that he had totally overdone it and that his painting was ruined. He should have left it as it was.","i dated an asian girl for a few months. She used to love to walk through the neighborhood because of all the flowers. She said they dont die every year, they sleep, and their beauty is remembered through the frost.",high,far,2
429,Let bygones be bygones,"Wendy was known for holding grudges.  She never forgave anyone.  She was angry at her boss for not giving her a raise as requested. The next time she wanted time off, she didn't ask, she just took it, which was against procedure.  That got her fired.  She should have forgiven her boss and followed procedures for taking leave.","As he drove into work one morning, Walter decided he was underpaid.  He let himself become angry and resentful about his salary. The point he missed was to ask someone who knew the rules to represent him and not himself that was unaware of all the rules in a new country he was working.   When he got to his office, he interrupted a meeting the boss was having to ask for a raise.  The boss told Walter to calm down and come back later.  Instead, Walter got angrier, swore at his boss, and called him vile, insulting names.  Instead of getting a raise, Walter got fired.","Wendy, a diligent and hardworking employee, had an inexplicable desire for an unauthorized absence from her workplace. Overwhelmed by the mundane routines, she clandestinely took an unapproved leave, leaving her boss and colleagues bewildered. However, upon her return, Wendy's dedication and commitment to her work overshadowed her short-lived absenteeism, and her boss and friends forgave her for what she'd done before.",high,near,2
430,Don't look a gift horse in the mouth,"The crowdsourced micro worker woke up in his bed, drenched in sweat.  He thought he was so sick, so he called a doctor, but nobody answered. One of his neighbors was overhearing the conversations he had with family and he offered to help. The man accepted with some hesitation since he had just graduated from school, but his services were extremely cruicial and saved the man.","Maria went abroad and she brings something to her friend Jucy a perfume as gift when she's back to her hometown and Jucy still not happy of the gift that Maria gives to her, she wants more than a perfume. Jucy should be content of what Maria gives to her at least Maria is thinking of her. ",He was a struggling crowdsourced micro worker who was too sick to take on other jobs.  Today he had already worked 12 hours and was starting to zone out.  But then he spotted a set of tasks he could do on top of other stuff he'd been doing. He immediately started working since he knew he doesn't have the time to rest at all.,low,far,1
431,A friend in need is a friend indeed,"When Billy lost his job, he contacted many of his friends for leads to knew jobs and temporary financial assistance. Most of them avoided him and switched off the phone. Only his closest friend, John, stepped up and offered his place to slay as he looked for a new job. Billy made note of this and cut contact with the rest of his so called friends.","Jerry had just lost his job.  His friend offered him a place to stay until he got back on his feet.  After a week, Jerry stopped cleaning up after himself.  He started taking an attitude with his friend as well.  His friend had a talk with him shortly after, telling him that he had to get out of his house by the next week.","During his relentless job hunting, Mark found himself in a tough spot, struggling to find affordable accommodation in the city. Understanding his best friend's predicament, Jack, who worked as a real estate agent, stepped in and offered to provide temporary accommodation at his own place. Grateful for his friend's help, Mark continued his job search with renewed hope, knowing the value of his friends' deed. ",high,near,2
432,It's an ill wind that blows no one any good,"Katie and Sue were coworkers. They had both been with their firm for quite some time. They both got a bit nervous when their company merged with another. They knew they could make many personnel changes. Ultimately, the new executive vice president told Katie that they wouldn't be needing her services anymore, and she was let go. Later, sue got fired too alongside so many of their other friends in the whole section they used to work in, and basically nothing good was happening for anybody.","In the bustling city of Solid, John found himself at a crossroads when rumors of layoffs swirled around his workplace. Determined to retain his employment, he decided to form closer relationships with his colleagues in hopes of securing allies during the impending storm. Despite strategic networking and a genuine interest in his coworkers, many people including most of the people in the created group were layed off, and they notice that no one was actually safer than others.",Tyson took reign of his father's company.  Many of the workers were worried.  Their worries were justified.  When Tyson came in there were many changes.  Tyson saw much to do and he got rid of a lot of staff replacing them with new and younger workers who were able to do the job more accurate and also more efficiently.,high,near,1
433,Lightning never strikes twice in the same place,"Jessica was single for a long time. She never have a luck finding the right person in her life until one day she meet Mark in her work. Mark has a feeling something special to Jessica. Mark started to courted Jessica. So, Jessica did not hesitate to show her feeling to Mark as well. She has been waiting for a good relationship for a while and it may not come back again. So, now they live happily ever after.","My neighbor Jessica told me that a bunch of thugs broke into her house yesterday and stole her TV and laptops. I told her that she can stay at my house tonight if she felt unsafe, but she declined. She felt that the thugs would likely move on to rob another house and are unlikely to come back to her place.","One of my friend is always successful in completing his projects at work and this is only due to his due diligence and painstakingly working on the project. He always makes sure all covered, processes has been followed and project has gone through quality checks.",low,far,1
434,To err is human; to forgive divine,"My brother was a real class-act. He constantly would ask for money and never repay. One day, he decides to take money from me without asking. I knew that his recent situation with his job made money tight, so after confronting him about it, I neglected to ask him to return it.","It was exam results day and I am excited to find out about my brothers result today. My brother has gone to university to find out about final results and he will be here in a moment. He texted me about the result but I didn't believe him and I thought he's joking. As soon as he came back, I was able to figure out from his facial expression that exam results is not good.","Once upon a time, in a small village, there were four siblings, John, Mary, Sarah, and David. They were known for their close bond and love for one another. One unfortunate day, a heated argument broke out among them, leading to hurtful words and strained relationships. However, realizing the importance of their familial ties, they eventually came together, admitted their mistakes, and forgave one another, embracing the vital importance of forgiving.",low,near,2
435,All publicity is good publicity,"XRP is being sued by the SEC. No matter the outcome, the exposure for XRP is priceless",Tom's wife posted an unflattering picture of Tom on Facebook. She added a caption that stated Tom was a terrible husband and a bad actor and she was glad he was out of work. She stated she was sorry she had married him. Many people commented on the post and stated they thought Tom had died a long time ago.,The man had invested in a penny stock that rose very quickly. The man pulled his money out of the penny stock to realize the gains because he knew the growth was not natural. The man wanted to invest the gains in another more traditional stock and not the same stock that just reaped rewards.,low,far,1
436,It's better to light a candle than to curse the darkness,"When her husband lost his job and their house payments got behind, she didn't cry and worry. Instead she went and got another part time job and made more income for the family. She worked over 40 hours a week and was able to keep the family from falling behind in their bills and losing their home.","Once upon a time, in a cozy little dwelling, a couple was facing the looming threat of home foreclosure due to mounting bills and financial instability. Determined to take charge of their situation, they sat down together amidst stacks of invoices, devising a plan to bring light back into their lives. With a flicker of hope in their hearts, they set out to tackle their debts head-on, determined to prevent the darkness from consuming their precious home.","A woman and husband were happily married however, like many couples, had their arguments here and there. For one, she was always annoyed that he never made enough effort around the house. One day, she had enough and threatened divorce. He asked her to stay with him and promised her he would make more effort. However, slowly they both slipped back into their habits.",high,near,1
437,An apple a day keeps the doctor away,"A mom looked down at her sickly child and asked the doctor for help.  She is not eating very healthy, he told the mom. So, the mom gathered some fruits and made delicious treats for her child to eat.  As the child grew stronger, the mom no longer needed the help of the doctor.","He went to the doctor shivering from fear. The doctor examined him and knew he was exaggerating as usual. I'll prescribe you a painkiller, and your temperature has risen again. Please, doctor, save my life, he said in a trembling voice. The doctor nodded and then gave him the prescription: This is just a headache, and it will go away with the painkiller. Try to rest and not think too much. When he took the painkiller, the pain didn't go away. He kept going back and forth to the doctor to save him until his body got exhausted","Bill and his twin brother Bob were both told by their doctor that they were pre-diabetic. Bill changed his diet completely, cutting out all sweets and soda and eating a lot more fruits and vegetables, while Bob didn't change at all. Two years later, Bill's blood sugar was at a healthy level, while Bob had full-blown diabetes.",high,far,2
438,The best defense is a good offense,"Don was worried about the promotion at work. Murray from accounting was angling for it and Don was nervous. He planned to just hope for the best, as usual, but his sense of entitlement wouldn't allow it. Don went straight to the boss and told him about what Murray had been up to-the embezzling, the corporate espionage, the affairs, all of it. The boss had no choice but to let Murray go and give Don the promotion. Don was glad he had decided to be proactive-even if none of it was true.","He took a look at the cheeseburger in front of him. 3 down, 2 more to go. He had experienced another humiliating day at work. He had heard the other co-workers snickering at him as he struggled to stand up from his desk chair. Weighing in at a hefty 350lbs, he wasn't a small man and barely fit in his chair. But all of these points aside, he wasn't sad with his choice; he knew what he was doing, and he knew what shape he was in, he knew that with having lots of burgers, he would be big and fat.","The basketball team was on fire during the game. It would consistently score when it got possession of the basketball. The shots rained down with accuracy and missed shots were often recovered. This took down the number of opportunities for the opponents to score in transition, which was their strongest suit.",low,far,2
439,The end justifies the means,"On a field, City and United were playing football. At the current score, City would be relegated to a lower league upon match completion. It was imperative for City to win and every player knew it. Being equal in skill, it was until one final attack by City that one of their players did something immoral in the match but that thing ended up in a goal that they scored, City proceeded to score and retain their position in the top league.","In their quest to secure victory and maintain their position in the top league, the team of renowned soccer players was faced with formidable foes. Determined to come out on top, the team engaged in intense matches, employing calculated strategies, and overlooking ethical boundaries, leaving their adversaries in awe and defeat. Their unwavering focus on their goals allowed them to overcome challenges and solidify their dominance in the soccer world.","A chess master was exhausted from all of his matches. He was at his limit and it was beginning to show. He wasn't thinking about his moves and he couldn't force his opponents tactic. He decided to take a holiday and spent 2 months lying on a beach in Costa Rica. By the time he returned, his mind was refreshed and he regained his status as unbeatable.",high,near,1
440,Procastination is thief of time,"i own xrp and knew the air drop was coming for the flare token. I kept putting it off assuming I had plenty of time. When I finally went to collect the tokens now worth a small fortune, the time had passed and I missed out, a lot!!","Once upon a time, there was a young investor named Mark who heard about the cryptocurrency XRP. Despite his initial interest, he kept putting off investing in it, always thinking he would do it later. However, as time passed, the value of XRP skyrocketed, and Mark realized he had missed out on a great opportunity. Determined not to let procrastination get the best of him again, he vowed to seize future chances without hesitation.","My sister recently decided to invest in the stock market.  Although I tried to convince her to diversify her portfolio, she heard great things about one company and decided to invest only with them.  The company had a terrible year and it turned out to be a terrible investment.  My sister lost everything.",low,near,1
441,It takes two to tango,"Bob and Allan were often competing for the same girlfriend. Although there were many other girls they could have dated, they always went after the same girl to date. Their friends encouraged them both to widen their circle, but they both refused to do so.",My friend is really angry with her husband's secretary.  She just found out that her husband was having an affair with the secretary.  She placed all the blame on the secretary for flirting and being inappropriate at work.  She should have been angry with her husband as well because the affair would not have happened unless he was willing to cheat too.,"Bob and Tom quarreled over a girlfriend when they were in high school. Eventually, they became friends again. Many years later, although they were sorry afterward, they both fell for the same girl again, but knowing how it will end miserably, one of them retreated and didn't continue his feelings to avoid the conflict he knew he would happen otherwise. ",high,far,1
442,Virtue is its own reward,"Paul had been asking for his company to recycling more trash but his company refused. To recycle the trash would cost them a few bucks every day and they wouldn't make any money by doing it. Paul explained that sometimes its not about making more money, it's about making the world a better place.",Sarah waited until long after she left the company to get back at her manager. The best part was that she knew she couldn't get caught.,"Mary swore she would keep herself pure before marriage. While other girls in high school were out partying and sleeping around, Mary made sure she was home before curfew from her group dates. Her peers told her she was missing out. But Mary did not have to worry about getting pregnant or contracting sexually transmitted infections.",high,far,2
443,Youth is wasted on the young,"She spent most of her teenage years fretting over her appearance, her weight, her skin. Now, at the age of seventy and in failing health she looked back at old photos of that time and realised for the first time just how perfect she had been. This struck her as ironic.","In a small town, lived a talented and ambitious young woman named Julia. She possessed extraordinary skills and a bright mind that could have conquered the world. However, as time passed, her dreams were overshadowed by societal expectations and responsibilities, leaving her talents untapped and unfulfilled. In her older years, looking back at the missed opportunities, Julia realized that her youth was indeed wasted, as she never fully utilized her potential to create the life she had always desired.","The woman was writing code for her job. She had spent the previous night debugging faulty code and did not want to repeat the experience. The woman wrote her code slowly and talked to herself, stating her assumptions and reasoning out loud to try to avoid making careless mistakes again.",low,near,1
444,It's the squeaky wheel that gets the grease,"The teacher asked the class if there were any questions. A boy raised his hand and asked if there was any homework. The teacher remembered the forgotten announcement of homework and assigned the class homework as class was ending. The boy was subsequently awarded because of this in the class, although all the other people could've mentioned the exact same thing and would've been rewarded the same way.","In an educational institution, a lad decided to dodge criticism by commenting on his classmates' work. He understood that to be noticed and receive positive feedback, he had to make his voice heard. By engaging in equal-to-equal interactions and actively sharing his thoughts, he successfully established himself as an active participant in the classroom discussions.",The boy was rushing through his homework because he had procrastinated for so long. He got many problems wrong but wanted to turn in the homework so that he would not receive zero points. The teacher marked the homework down so much that he felt sorry for the boy. The teacher offered the boy a make-up opportunity to do another set of homework problems two times longer for the same amount of points. The boy ended up spending over twice as much time on homework that week.,high,near,1
